"","Código","Municipio","Cta Principal (Líquido)","Comisión Bancaria...4","SUMI/SSIEP","Comisión Bancaria...6","Total Ejecución...7","Salud (Líquido)","Comisión Bancaria...9","Educación (Líquido)","Comisión Bancaria...11","Infraestructura (Líquido)","Comisiones Bancarias","Total Ejecución...14","Coparticipación","Comisión Bancaria...16","Compensación y nivelación","Comisión Bancaria...18","Renta Digindad","Fondo E Cívica","Total Ejecución...21"
"1",1101,"Gobierno Autónomo Municipal de Sucre",119125864.41,221330.6,13236427.29,24371.9,132607994.2,1451368.03,1091.7,2892635.79,2175.75,3805005.78,2861.97,8155139.02,10023502.49,4901.38,96889090.29,178.08,45864042.58,102939.06,152884653.88
"2",1102,"Gobierno Autónomo Municipal de Yotala",5241169.44,11638.24,582572.36,1072.81,5836452.85,63878.82,48.06,142661.98,107.28,583653.81,439.02,790788.97,440727.12,210.75,4264271.45,99.62,2018606.02,4530.64,6728445.6
"3",1201,"Gobierno Autónomo Municipal de La Paz",437963370.44,808396.74,48662817.06,89601.46,487524185.7,5335854.91,4013.46,8322185.22,6269.13,1643154.3,1235.88,15312712.9,88883188.66,16871.04,106565333.82,2822,38129934.96,85580.4,233683730.88
"4",1204,"Gobierno Autónomo Municipal de Achocalla",8340023.67,17344.02,926889.91,1706.69,9285964.29,101633.02,76.44,216187.73,162.6,1322026.6,994.41,1641080.8,1692539.27,318.85,2029675.81,53.71,726267.84,1630.02,4450485.5
"5",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",358830232.75,662691.18,39870246.39,73411.83,399436582.15,4371753.65,3288.3,9163890.74,6892.74,26860573.61,20203.89,40426602.93,72822896.69,13821.99,87310711.59,2311.77,31240482.74,70117.35,191460342.13
"6",1206,"Gobierno Autónomo Municipal de Viacha",25722979.7,49350.48,2858329.34,5262.75,28635922.27,313414.45,235.71,742336.01,558.36,2873770.85,2161.56,3932476.94,5219396.68,988.33,6259285,165.74,2239654.75,5026.78,13724517.28
"7",1210,"Gobierno Autónomo Municipal de Caranavi",23770806.37,45756.1,2641421.27,4863.46,26462847.2,289633.93,217.86,558977.99,420.48,3028906.07,2278.23,3880434.56,4823206.67,913.09,5784283.5,153.1,2069695.93,4645.24,12682897.53
"8",1262,"Gobierno Autónomo Municipal de Laja",9003078.02,18564.8,1000562.7,1842.21,10024047.73,109711.19,82.5,287793.05,216.48,1551581.36,1167.03,1950551.61,1827104.94,344.44,2191009.8,57.97,783994.43,1759.59,4804271.17
"9",1268,"Gobierno Autónomo Municipal de San Buenaventura",3422600.93,8289.47,380509.23,700.65,3812100.28,41722.68,31.41,102551.97,77.1,336917.23,253.41,481553.8,693941.94,129.2,833171.65,22.12,298149.46,669.15,1826083.52
"10",1301,"Gobierno Autónomo Municipal de Cochabamba",285439333.83,527558.61,31715702.17,58397.21,317740991.82,3477611.73,2615.73,6880970.24,5175.63,1907378.49,1434.66,12275186.48,13810898.79,7452.57,122916674.58,1476.32,40125638.31,90059.62,176952200.19
"11",1302,"Gobierno Autónomo Municipal de Quillacollo",57528610.5,107913.48,6392288.11,11769.81,64040581.9,700911.4,527.22,1455151.93,1094.49,680043.84,511.53,2838240.41,2783194.98,1496.31,24773653.15,374.24,8087307.79,18151.44,35664177.91
"12",1303,"Gobierno Autónomo Municipal de Sipe Sipe",17298711.12,33839.15,1922299.68,3539.46,19258389.41,210779.24,158.55,459755.6,345.81,1493587.11,1123.41,2165749.72,836648.12,445.69,7449841.94,179.64,2432028.55,5458.44,10724602.38
"13",1304,"Gobierno Autónomo Municipal de Tiquipaya",20861869.3,40400.06,2318206.09,4268.32,23224743.77,254190.2,191.19,537780.71,404.49,733488.48,551.67,1526606.74,1009173.58,544.64,8984210.84,196.97,2932916.11,6582.81,12933624.95
"14",1305,"Gobierno Autónomo Municipal de Vinto",17382627.61,33993.8,1931623.77,3556.63,19351801.81,211801.63,159.27,465736.42,350.28,987359.63,742.65,1666149.88,840708.48,447.9,7485978.29,180.15,2443825.17,5485.15,10776625.14
"15",1306,"Gobierno Autónomo Municipal de Colcapirhua",23174553.9,44658.21,2575171.13,4741.62,25799124.86,282366.26,212.4,390509.63,293.67,0,0,673381.96,1121074.16,604.99,9980100.45,208.11,3258019.63,7312.43,14367319.77
"16",1312,"Gobierno Autónomo Municipal de Sacaba",64647197.09,121020.79,7183242.38,13226.42,71964686.68,787639.12,592.47,1207798.07,908.46,2063068.86,1551.78,4061558.76,3127631.91,1682.16,27839054.71,408.64,9087996.51,20397.42,40077171.35
"17",1315,"Gobierno Autónomo Municipal de Punata",14429524.26,28556.29,1603500.87,2952.45,16064533.87,175823.1,132.24,466065.64,350.55,607611.52,457.02,1250440.07,697820.83,370.8,6214311.19,165.85,2028695.43,4553.37,8945917.47
"18",1316,"Gobierno Autónomo Municipal de Villa Rivero",3231579.39,7937.82,359284.62,661.43,3599463.26,39395.4,29.64,119836.03,90.12,329053.63,247.5,488652.32,156001.84,78.41,1392246.58,111.69,454555.07,1020.33,2004013.92
"19",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",7020539.81,14914.42,780280.66,1436.56,7817171.45,85557.38,64.38,203512.77,153.03,451258.17,339.45,740885.18,339332.87,177.31,3023850.88,129.92,987184.62,2215.61,4352891.21
"20",1320,"Gobierno Autónomo Municipal de Tarata",4809438.7,10843.26,534602.49,984.37,5355868.82,58618.91,44.1,166036.57,124.89,502759.72,378.15,727962.34,232347.48,119.66,2071705.26,119.28,676361.22,1518.11,2982171.01
"21",1322,"Gobierno Autónomo Municipal de Arbieto",5208596.19,11578.07,578953.43,1066.08,5800193.77,63481.99,47.76,87407.85,65.76,323552.65,243.33,474799.34,251660.95,130.01,2243590.73,121.17,732472.3,1644.04,3229619.2
"22",1324,"Gobierno Autónomo Municipal de Cliza",10900043.34,22057.62,1211336.33,2230.32,12135667.61,132822.47,99.9,324117.01,243.75,514579.45,387.06,972249.64,527044.87,278.64,4694444.34,148.77,1532542.08,3439.67,6757898.37
