"","Ent","Entidad","Fecha de Datos","Ppto Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Municipalidad de Sucre",2011-12-31,462179543,648465602.8,294553454.89,294553454.89,290030562.07,0,4522892.82
"2",1102,"Municipalidad de Yotala",2011-12-31,18062314,25980012.01,16370072.48,14983195.55,14930775.52,1386876.93,52420.03
"3",1103,"Municipalidad de Poroma",2011-12-31,21506168,28816547.6,20971169.15,20971169.15,20452757.36,0,518411.79
"4",1104,"Municipalidad de Villa Azurduy",2011-12-31,16799960,23231661.2,16065566.59,16065566.59,13433366.24,0,2632200.35
"5",1105,"Municipalidad de Tarvita (Villa Orías)",2011-12-31,21053461,32312095.47,25727569.62,25727569.62,25509972.27,0,217597.35
"6",1106,"Municipalidad de Villa Zudañez (Tacopaya)",2011-12-31,15764272,19677228.67,12425648.7,12425648.7,11597051.17,0,828597.53
"7",1107,"Municipalidad de Presto",2011-12-31,28827966,24934896.51,18648862.03,18383586.62,18379112.64,265275.41,4473.98
"8",1108,"Municipalidad de Villa Mojocoya",2011-12-31,12252546,17052655.95,10169543.55,10169543.55,9722930.41,0,446613.14
"9",1109,"Municipalidad de Icla",2011-12-31,19709345,26268944,12233843.23,12146677.23,11960176.82,87166,186500.41
"10",1110,"Municipalidad de Padilla",2011-12-31,19458790,27978239.26,18542121.99,18542121.99,18312125.62,0,229996.37
"11",1111,"Municipalidad de Tomina",2011-12-31,11812637,19122540.84,16169320.08,16169320.08,13192179.76,0,2977140.32
"12",1112,"Municipalidad de Sopachuy",2011-12-31,12846566,17155146,12874896.08,12874896.08,11571333.37,0,1303562.71
"13",1113,"Municipalidad de Villa Alcalá",2011-12-31,6835153,10782844.34,6644305.65,5747499.97,5705575.89,896805.68,41924.08
"14",1114,"Municipalidad de El Villar",2011-12-31,6245718,9884252.46,6123458.46,6123458.46,6016739.86,0,106718.6
"15",1115,"Municipalidad de Monteagudo",2011-12-31,38078755,61824835.74,41015511.85,41015511.85,39730223.06,0,1285288.79
"16",1116,"Municipalidad de San Pablo de Huacareta",2011-12-31,11642218,20829869.15,13154263.52,13154263.52,12685944.27,0,468319.25
"17",1117,"Municipalidad de Tarabuco",2011-12-31,24318261,40105660.39,27188850.87,27188850.87,27182647.17,0,6203.7
"18",1118,"Municipalidad de Yamparáez",2011-12-31,17695489,24636521.47,18418602.2,18352142.86,16530193.66,66459.34,1821949.2
"19",1119,"Municipalidad de Camargo",2011-12-31,18272601,35972537.72,18362025.23,18329457.33,16710901.47,32567.9,1618555.86
"20",1120,"Municipalidad de San Lucas",2011-12-31,44326197,67624128,54344520.51,54344520.51,47166081.5,0,7178439.01
"21",1121,"Municipalidad de Incahuasi",2011-12-31,15566829,24616839.17,15673382.19,15673382.19,15015940.81,0,657441.38
"22",1122,"Municipalidad de Villa Serrano",2011-12-31,16317799,23874167.48,19777225.26,19777225.26,16339535.79,0,3437689.47
"23",1123,"Municipalidad de Camataqui (Villa Abecia)",2011-12-31,5897578,10088961,7914600.49,7914600.49,7137496.96,0,777103.53
"24",1124,"Municipalidad de Culpina",2011-12-31,27127812,35205238.95,28965090.7,28965090.7,28329679.17,0,635411.53
"25",1125,"Municipalidad de Las Carreras",2011-12-31,6816056,8902862.55,1481929.85,1481929.85,1435901,0,46028.85
"26",1126,"Municipalidad de Villa Vaca Guzmán",2011-12-31,12698416,28483112.46,18008847.65,18008847.65,17915019.61,0,93828.04
"27",1127,"Municipalidad de Villa de Huacaya",2011-12-31,2964839,6220846.98,4632265.74,4632265.74,4610668.3,0,21597.44
"28",1128,"Municipalidad de Machareti",2011-12-31,13350873,19607857.83,11024793.48,11024793.48,10666290.2,0,358503.28
"29",1129,"Municipalidad de Villa Charcas",2011-12-31,15316244,22875132,14075103.64,14075103.64,13832214.88,0,242888.76
"30",1201,"Municipalidad de La Paz",2011-12-31,1551143755,1877731321,1355124260.79,1355124260.79,1240804843.24,0,114319417.55
"31",1202,"Municipalidad de Palca",2011-12-31,18517033,21666979,9299085.97,9299085.97,8248733.28,0,1050352.69
"32",1203,"Municipalidad de Mecapaca",2011-12-31,10472602,17899974,3463065,3463065,2681815.95,0,781249.05
"33",1204,"Municipalidad de Achocalla",2011-12-31,15696461,26500895,16609217.38,16609217.38,15037216.96,0,1572000.42
"34",1205,"Municipalidad de El Alto de La Paz",2011-12-31,1319890817,1595673268,829736462.89,829736462.89,772036502.95,0,57699959.94
"35",1206,"Municipalidad de Viacha",2011-12-31,80506552,102542088.7,60760318.78,56808821.84,56198535.66,3951496.94,610286.18
"36",1207,"Municipalidad de Guaqui",2011-12-31,6444792,9513911.45,6785317.34,6785317.34,6673177.07,0,112140.27
"37",1208,"Municipalidad de Tiahuanacu",2011-12-31,10030914,29950368,20556471.89,20556471.89,19624649.56,0,931822.33
"38",1209,"Municipalidad de Desaguadero",2011-12-31,4408872,7618259,5965168.53,5904911.96,5426863.3,60256.57,478048.66
"39",1210,"Municipalidad de Caranavi",2011-12-31,41991700,87022364,35484024.32,35484024.32,34457699.91,0,1026324.41
"40",1211,"Municipalidad de Sica Sica (Villa Aroma)",2011-12-31,21668686,29155806.13,23648124.81,23648124.81,22666638.68,0,981486.13
"41",1212,"Municipalidad de Umala",2011-12-31,7901823,13231784,7273818.55,7273818.55,7157890.35,0,115928.2
"42",1213,"Municipalidad de Ayo Ayo",2011-12-31,7544083,10529767.65,5073870.66,5073870.66,5055203.96,0,18666.7
"43",1214,"Municipalidad de Calamarca",2011-12-31,10741301,17120533.38,10716720.51,10716720.51,10371886.96,0,344833.55
"44",1215,"Municipalidad de Patacamaya",2011-12-31,24408584,26067738.08,22838365.44,22838365.44,17559621.8,0,5278743.64
"45",1216,"Municipalidad de Colquencha",2011-12-31,6550333,11167862.88,5155582.14,5155582.14,4723062.83,0,432519.31
"46",1217,"Municipalidad de Collana",2011-12-31,2990763,4389010,2416891.45,2416891.45,2276669.59,0,140221.86
"47",1218,"Municipalidad de Inquisivi",2011-12-31,20349724,31614439.99,21257268.7,20876650.62,20498275.76,380618.08,378374.86
"48",1219,"Municipalidad de Quime",2011-12-31,8182475,11260067,9084263.52,8911727.62,8911622.62,172535.9,105
"49",1220,"Municipalidad de Cajuata",2011-12-31,6336032,14213178.7,9777335.21,9777335.21,9042674.69,0,734660.52
"50",1221,"Municipalidad de Colquiri",2011-12-31,15359712,48367278.94,28611718.52,28611718.52,25865203.45,0,2746515.07
"51",1222,"Municipalidad de Ichoca",2011-12-31,6213729,11042585.28,5169803.19,5169803.19,5048362.83,0,121440.36
"52",1223,"Municipalidad de Licoma Pampa",2011-12-31,2180095,4986559.39,3479657.94,3479657.94,3337572.43,0,142085.51
"53",1224,"Municipalidad de Achacachi",2011-12-31,44636406,105103869,67247264.7,62374873.96,53967376.12,4872390.74,8407497.84
"54",1225,"Municipalidad de Ancoraimes",2011-12-31,14581375,22585465,14144379.2,14144379.2,13086283.88,0,1058095.32
"55",1226,"Municipalidad de Sorata",2011-12-31,16250706,32327868.88,12737175.71,12737175.71,12737175.71,0,0
"56",1227,"Municipalidad de Guanay",2011-12-31,12554703,17324113.61,9047836.45,9028226.94,8115463.33,19609.51,912763.61
"57",1228,"Municipalidad de Tacacoma",2011-12-31,5209350,8057322.34,5415479.36,5415479.36,5324059.53,0,91419.83
"58",1229,"Municipalidad de Tipuani",2011-12-31,8450389,11239959.83,8140782.67,8140782.67,8020488.15,0,120294.52
"59",1230,"Municipalidad de Quiabaya",2011-12-31,2536901,4030239.09,3221474.66,3221474.66,3148892.92,0,72581.74
"60",1231,"Municipalidad de Combaya",2011-12-31,2211455,3866163.65,2296506.89,2296506.89,2236531.33,0,59975.56
"61",1232,"Municipalidad de Copacabana",2011-12-31,14072820,22668973.4,14650383.78,14650383.78,14152097.2,0,498286.58
"62",1233,"Municipalidad de San Pedro de Tiquina",2011-12-31,4816314,8464397.48,2854896.23,2854896.23,2498766.22,0,356130.01
"63",1234,"Municipalidad de Tito Yupanqui",2011-12-31,1819153,3682264.47,2721939.05,2721939.05,2603589.1,0,118349.95
"64",1235,"Municipalidad de Chuma",2011-12-31,16525579,27659629,15480154.34,15468285.05,13846565.29,11869.29,1621719.76
"65",1236,"Municipalidad de Ayata",2011-12-31,6622226,10974942.69,7038393,7038393,6823070.49,0,215322.51
"66",1237,"Municipalidad de Aucapata",2011-12-31,3493060,6466974,4127938.77,4121938.77,3860901.05,6000,261037.72
"67",1238,"Municipalidad de Corocoro",2011-12-31,16382843,32634877.05,17123818.83,17123818.83,16636175.9,0,487642.93
"68",1239,"Municipalidad de Caquiaviri",2011-12-31,9521220,18003591.01,10713838.84,10713838.84,9432341.48,0,1281497.36
"69",1240,"Municipalidad de Calacoto",2011-12-31,8026664,17078296.07,10559003.04,9734146.98,9392849.47,824856.06,341297.51
"70",1241,"Municipalidad de Comanche",2011-12-31,3150795,6216496.63,2634950.7,2634950.7,2577808.57,0,57142.13
"71",1242,"Municipalidad de Charaña",2011-12-31,2916298,4995073.08,2086948.08,2086948.08,2086948.08,0,0
"72",1243,"Municipalidad de Waldo Ballivián",2011-12-31,1366354,2783931.61,2005259.86,2005259.86,1988406.57,0,16853.29
"73",1244,"Municipalidad de Nazacara de Pacajes",2011-12-31,222385,718384.32,352824.94,352824.94,348075.89,0,4749.05
"74",1245,"Municipalidad de Santiago de Callapa",2011-12-31,7263719,11186567.1,7564645.5,7564645.5,7051260.61,0,513384.89
"75",1246,"Municipalidad de Puerto Acosta",2011-12-31,11965840,27365882.78,14625412.51,14625412.51,14240165.56,0,385246.95
"76",1247,"Municipalidad de Mocomoco",2011-12-31,15620670,29512357.59,16075542.34,16075542.34,15673466.15,0,402076.19
"77",1248,"Municipalidad de Carabuco",2011-12-31,11954415,18348893.65,10162930.11,10162930.11,9592683.31,0,570246.8
"78",1249,"Municipalidad de Apolo",2011-12-31,14408396,24888414,14411536.73,14411536.73,13994032.15,0,417504.58
"79",1250,"Municipalidad de Pelechuco",2011-12-31,4416428,8167311.79,5078095.2,5078095.2,5057695.31,0,20399.89
"80",1251,"Municipalidad de Luribay",2011-12-31,10140486,14263383.97,9696251.74,9696251.74,9335848.06,0,360403.68
"81",1252,"Municipalidad de Sapahaqui",2011-12-31,13037222,19094737.34,9958134.49,9868357.05,9445766.44,89777.44,422590.61
"82",1253,"Municipalidad de Yaco",2011-12-31,6761551,13412203,6686956,6686956,6480353.85,0,206602.15
"83",1254,"Municipalidad de Malla",2011-12-31,3079349,14970790.64,3417908.45,3417908.45,3387998.06,0,29910.39
"84",1255,"Municipalidad de Cairoma",2011-12-31,8872885,16433256.59,13438322.69,13438322.69,11498504.79,0,1939817.9
"85",1256,"Municipalidad de Chulumani (Villa de la Libertad)",2011-12-31,20599863,25856818,9960603.82,9960603.82,9296434.34,0,664169.48
"86",1257,"Municipalidad de Irupana (Villa de Lanza)",2011-12-31,9727679,26450842.08,16000555.66,16000555.66,15820931.42,0,179624.24
"87",1258,"Municipalidad de Yanacachi",2011-12-31,3724567,8252746.48,4675386.99,4675386.99,4518039.05,0,157347.94
"88",1259,"Municipalidad de Palos Blancos",2011-12-31,15321334,36005306,18857023.46,18857023.46,18385686.88,0,471336.58
"89",1260,"Municipalidad de La Asunta",2011-12-31,14743871,30614396.54,15666867.12,15666867.12,15490194.01,0,176673.11
"90",1261,"Municipalidad de Pucarani",2011-12-31,20273008,32083677.98,19628254.08,19628254.08,19259091.93,0,369162.15
"91",1262,"Municipalidad de Laja",2011-12-31,20611989,32364094.9,13927785.18,13125475.92,12465341.32,802309.26,660134.6
"92",1263,"Municipalidad de Batallas",2011-12-31,17956163,28788049.89,12129578.51,12103778.51,11156226.24,25800,947552.27
"93",1264,"Municipalidad de Puerto Pérez",2011-12-31,7992565,12714021,9278640.6,9278640.6,9041009.33,0,237631.27
"94",1265,"Municipalidad de Coroico",2011-12-31,11682394,26059721,19417045.05,19417045.05,18348017.67,0,1069027.38
"95",1266,"Municipalidad de Coripata",2011-12-31,9222160,18029578.01,11184600.71,11184600.71,10888144.63,0,296456.08
"96",1267,"Municipalidad de Ixiamas",2011-12-31,6760327,8195737,1263431.01,1263431.01,279873.87,0,983557.14
"97",1268,"Municipalidad de San Buenaventura",2011-12-31,6043801,7629821,6431049.47,6427509.47,6394925.11,3540,32584.36
"98",1269,"Municipalidad de General Juan José Pérez (Charazani)",2011-12-31,9102962,15370021.21,5026502.6,5026502.6,4305144.64,0,721357.96
"99",1270,"Municipalidad de Curva",2011-12-31,1986468,3261254.45,2175115.25,2175115.25,2106533.87,0,68581.38
"100",1271,"Municipalidad de San Pedro de Curahuara",2011-12-31,8434318,12325987.14,3382607.1,3382607.1,3295890.18,0,86716.92
"101",1272,"Municipalidad de Papel Pampa",2011-12-31,5531712,11284741.81,6565730.3,6565730.3,6417729.3,0,148001
"102",1273,"Municipalidad de Chacarilla",2011-12-31,1384198,2427644.87,1981062.45,1981062.45,1957509.02,0,23553.43
"103",1274,"Municipalidad de Santiago de Machaca",2011-12-31,3528737,5598882.12,3787242.33,3787242.33,3617966.43,0,169275.9
"104",1275,"Municipalidad de Catacora",2011-12-31,1374406,2554856.27,1254735.11,1254735.11,1207375.7,0,47359.41
"105",1276,"Municipalidad de Mapiri",2011-12-31,13787313,18500350.69,12058395.58,12058395.58,11863631.25,0,194764.33
"106",1277,"Municipalidad de Teoponte",2011-12-31,9211415,14630499.07,10306262.08,10306262.08,10196535.68,0,109726.4
"107",1278,"Municipalidad de San Andrés de Machaca",2011-12-31,5865430,10561518.22,6389295.85,6389295.85,6306014.06,0,83281.79
"108",1279,"Municipalidad de Jesús de Machaca",2011-12-31,10675133,20880980.06,12980900.04,12980900.04,11966755.66,0,1014144.38
"109",1280,"Municipalidad de Taraco",2011-12-31,7259961,10590201.66,5899769.74,5899769.74,5877579.71,0,22190.03
"110",1281,"Municipalidad de Huarina",2011-12-31,6641174,18641148,14765314.15,12212788.81,11701879.69,2552525.34,510909.12
"111",1282,"Municipalidad de Santiago de Huata",2011-12-31,9210162,13244733.98,6409768.37,6409768.37,6271238.62,0,138529.75
"112",1283,"Municipalidad de Escoma",2011-12-31,5009747,11084310.08,6999479.01,6999479.01,6807563.65,0,191915.36
"113",1284,"Municipalidad de Humanata",2011-12-31,4362178,7187436.84,4922642.01,4733385.01,4671798.65,189257,61586.36
"114",1285,"Municipalidad de Alto Beni",2011-12-31,9271460,15137171.48,12166341.49,12166171.49,11478348.53,170,687822.96
"115",1301,"Municipalidad de Cochabamba",2011-12-31,895196417,1193448259,734550888.51,734550888.51,678647297.02,0,55903591.49
"116",1302,"Municipalidad de Quillacollo",2011-12-31,124236598,243141872.18,124260960.79,120387861.61,109942211.06,3873099.18,10445650.55
"117",1303,"Municipalidad de Sipe Sipe",2011-12-31,28150083,47326568,34905899.83,34893084.42,32268656.91,12815.41,2624427.51
"118",1304,"Municipalidad de Tiquipaya",2011-12-31,42265377,63760946.38,48541433.65,48296198.6,44823849.42,245235.05,3472349.18
"119",1305,"Municipalidad de Vinto",2011-12-31,28646632,57449806.19,38258217.05,38258217.05,36581406.13,0,1676810.92
"120",1306,"Municipalidad de Colcapirhua",2011-12-31,44029067,76251889,49115894.2,47415499.79,46326867.62,1700394.41,1088632.17
"121",1307,"Municipalidad de Aiquile",2011-12-31,31000955,67686596.83,32315910.38,31270610.23,30279334.06,1045300.15,991276.17
"122",1308,"Municipalidad de Pasorapa",2011-12-31,4212393,8070383,5733225.4,5733225.4,5519055.73,0,214169.67
"123",1309,"Municipalidad de Omereque",2011-12-31,6695601,10452527.4,6155656.38,6155656.38,5974076.96,0,181579.42
"124",1310,"Gobierno Autónomo Municipal de Independencia",2011-12-31,29215743,45272042.71,37036827.23,37036827.23,32832867.49,0,4203959.74
"125",1311,"Municipalidad de Morochata",2011-12-31,29693436,44398702.98,27185105.57,27185105.57,23899702.85,0,3285402.72
"126",1312,"Municipalidad de Sacaba",2011-12-31,132117568,254873003.33,142218935.18,137709650.56,129144254.2,4509284.62,8565396.36
"127",1313,"Municipalidad de Colomi",2011-12-31,18023882,30672198.2,19502676.48,18268455.29,17850106.27,1234221.19,418349.02
"128",1314,"Municipalidad de Villa Tunari",2011-12-31,63034428,158463601.47,91433484.19,91433484.19,85014602.53,0,6418881.66
"129",1315,"Municipalidad de Punata",2011-12-31,26341993,41345504.16,30005880.09,30005880.09,28741338.02,0,1264542.07
"130",1316,"Municipalidad de Villa Rivero",2011-12-31,5047680,8183722.66,6637429.86,6637429.86,6450998.57,0,186431.29
"131",1317,"Municipalidad de San Benito (Villa José Quintín Mendoza)",2011-12-31,10505923,18112876.33,12203914.05,12203914.05,11681805.94,0,522108.11
"132",1318,"Municipalidad de Tacachi",2011-12-31,919804,2640749.1,1544586.75,926055.05,918051.24,618531.7,8003.81
"133",1319,"Gobierno Autónomo Municipal Villa Gualberto Villarroel",2011-12-31,1797355,4103660.71,875701.78,875701.78,500666.74,0,375035.04
"134",1320,"Municipalidad de Tarata",2011-12-31,10728067,17779250.72,12967659.48,12967659.48,12101898.8,0,865760.68
"135",1321,"Municipalidad de Anzaldo",2011-12-31,9158433,16125158.91,9916900,9916900,9263016.83,0,653883.17
"136",1322,"Municipalidad de Arbieto",2011-12-31,8734120,18739799,14141822.86,14136922.85,11232508.83,4900.01,2904414.02
"137",1323,"Municipalidad de Sacabamba",2011-12-31,4115875,8259130.46,4300438.4,4300438.4,4097080.95,0,203357.45
"138",1324,"Municipalidad de Cliza",2011-12-31,26763598,35715794.47,27740988.57,27740903.57,25535834.35,85,2205069.22
"139",1325,"Municipalidad de Toco",2011-12-31,6610375,23481931.66,12423418.15,12423418.15,12164139.31,0,259278.84
