"","Ent.","Entidad","Fecha de Datos","Ppto. Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2019-12-31,800853532,890851766.8,581259254.33,581259254.33,572444921.74,0,8814332.59
"2",1102,"Gobierno Autónomo Municipal de Yotala",2019-12-31,27740683,35958255.1,29172931.36,29172931.36,29139984.62,0,32946.74
"3",1103,"Gobierno Autónomo Municipal de Poroma",2019-12-31,25925822,47248886.85,36822727.51,36822727.51,36822659.51,0,68
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2019-12-31,15257895,30663116.8,26416961.3,26416961.3,26416961.3,0,0
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2019-12-31,20765060,31636830.94,25457830.42,25457830.42,25449546.42,0,8284
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2019-12-31,27143422,38240979.44,29979267.71,29979267.71,29979267.71,0,0
"7",1107,"Gobierno Autónomo Municipal de Presto",2019-12-31,28070851,33528353.15,25645646.75,25645646.75,25636919.25,0,8727.5
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2019-12-31,18530508,34997185.11,27774731.5,27774731.5,27774256.5,0,475
"9",1109,"Gobierno Autónomo Municipal de Icla",2019-12-31,12766656,21544230.77,19313497.48,19313497.48,19313497.48,0,0
"10",1110,"Gobierno Autónomo Municipal de Padilla",2019-12-31,19133481,36415154,28793933.45,28793933.45,28793933.45,0,0
"11",1111,"Gobierno Autónomo Municipal de Tomina",2019-12-31,20451295,26087549.94,20480354.21,20480354.21,20478918.21,0,1436
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2019-12-31,11375494,23990690.14,19264049.97,19264049.97,19264049.97,0,0
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2019-12-31,12121456,22899283.88,16933890.26,16933890.26,16933890.26,0,0
"14",1114,"Gobierno Autónomo Municipal de El Villar",2019-12-31,6907729,17130460.48,14904763.97,14904763.97,14904690.97,0,73
"15",1115,"Gobierno Autónomo Municipal de Monteagudo",2019-12-31,61445216,86583346.74,63444498.67,63444498.67,63419593.67,0,24905
"16",1116,"Gobierno Autónomo Municipal de San Pablo de Huacareta",2019-12-31,14600935,24085741.67,18315812.01,18315812.01,17996822.56,0,318989.45
"17",1117,"Gobierno Autónomo Municipal de Tarabuco",2019-12-31,29457496,41735535.62,34858901.16,34858901.16,34858901.16,0,0
