"","Ent,","Entidad","Fecha de Datos","Ppto, Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"1",1101,"Gobierno Autónomo Municipal de Sucre",2021-03-31,563494899,603404785.98,72909380.01,72909380.01,68820348.84,0,4089031.17
"2",1102,"Gobierno Autónomo Municipal de Yotala",2021-03-31,16953734,16993766,601279.34,601279.34,518496.34,0,82783
"3",1103,"Gobierno Autónomo Municipal de Poroma",2021-03-31,18657184,18662784,2599741.12,2599741.12,2400835.23,0,198905.89
"4",1104,"Gobierno Autónomo Municipal de Villa Azurduy",2021-03-31,16370233,16370233,1312436.31,1312436.31,1312436.31,0,0
"5",1105,"Gobierno Autónomo Municipal de Tarvita (Villa Orías)",2021-03-31,18242043,19153408,4191749.07,4191749.07,4088328.17,0,103420.9
"6",1106,"Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)",2021-03-31,15436755,16370624.38,2047398.89,2047398.89,2047398.89,0,0
"7",1107,"Gobierno Autónomo Municipal de Presto",2021-03-31,12771314,16026919.89,2530091.18,2530091.18,2530091.18,0,0
"8",1108,"Gobierno Autónomo Municipal de Villa Mojocoya",2021-03-31,10111773,14543360.87,1419919.91,1419919.91,1417219.91,0,2700
"9",1109,"Gobierno Autónomo Municipal de Icla",2021-03-31,9383191,9718159.13,1220422.05,1220422.05,1220422.05,0,0
"10",1110,"Gobierno Autónomo Municipal de Padilla",2021-03-31,18286190,26982961.49,3781250.8,3781250.8,3781250.8,0,0
"11",1111,"Gobierno Autónomo Municipal de Tomina",2021-03-31,9740932,10869090,2440626.47,2440626.47,2440626.47,0,0
"12",1112,"Gobierno Autónomo Municipal de Sopachuy",2021-03-31,8636028,8661923,888507.43,888507.43,888507.43,0,0
"13",1113,"Gobierno Autónomo Municipal de Villa Alcalá",2021-03-31,5557358,5557358,680236.35,680236.35,443968.62,0,236267.73
"14",1114,"Gobierno Autónomo Municipal de El Villar",2021-03-31,5048401,5939391.47,804006.04,804006.04,795425.04,0,8581
"15",1115,"Gobierno Autónomo Municipal de Monteagudo",2021-03-31,43474438,43487318,6462097.07,6462097.07,6264395.85,0,197701.22
"16",1116,"Gobierno Autónomo Municipal de San Pablo de Huacareta",2021-03-31,9452081,9462842,1216900.82,1216900.82,1197125.24,0,19775.58
"17",1117,"Gobierno Autónomo Municipal de Tarabuco",2021-03-31,24636580,26151058,2862202.6,2862202.6,2862202.6,0,0
"18",1118,"Gobierno Autónomo Municipal de Yamparáez",2021-03-31,11854848,16300306.78,3905298.43,3905298.43,3905298.43,0,0
"19",1119,"Gobierno Autónomo Municipal de Camargo",2021-03-31,21735254,22383701.02,3239542.84,3239542.84,2857571.49,0,381971.35
"20",1120,"Gobierno Autónomo Municipal de San Lucas",2021-03-31,33338053,41167571.76,2962144.38,2962144.38,2942164.38,0,19980
