folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_10_29;s10b_10_30;s10b_10_31;s10b_10_32;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;upm;estrato;factor
111-00416110273-A-0021;Chuquisaca;Urbana;50;120;0;35;0;10;40;40;0;0;0;20;70;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;100;120;0;179;0;200;0;0;0;0;0;0;100;0;0;0;0;0;0;0;250;250;50;0;320;0;0;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0031;Chuquisaca;Urbana;75;130;0;0;0;0;57;24;15;0;0;70;65;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;85;100;0;0;440;0;0;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0051;Chuquisaca;Urbana;65;120;0;0;0;10;45;12;0;0;0;30;40;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;300;0;300;550;0;0;0;0;0;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0071;Chuquisaca;Urbana;65;140;0;0;0;10;57;12;30;0;0;80;200;0;0;0;0;30;18;0;24;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;400;0;0;0;0;0;0;0;0;400;0;0;0;0;900;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0091;Chuquisaca;Urbana;55;150;0;0;0;0;40;30;0;0;0;30;200;0;0;0;0;0;0;0;0;2600;0;0;0;0;0;0;50;50;300;124;0;0;0;0;0;0;0;0;100;0;0;0;0;0;300;0;0;200;0;0;0;0;0;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0111;Chuquisaca;Urbana;30;150;0;0;0;0;30;30;0;0;0;30;50;0;0;0;0;0;0;0;0;2200;0;0;0;0;0;0;200;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;750;700;400;0;0;0;0;0;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0131;Chuquisaca;Urbana;50;60;0;0;0;0;50;12;0;0;0;30;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;120;150;100;0;0;0;0;0;0;0;0;0;0;0;350;550;30;0;0;0;0;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0151;Chuquisaca;Urbana;55;150;0;0;0;0;48;12;60;0;0;110;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;350;200;100;0;0;0;0;0;0;0;0;0;0;60;0;450;650;0;60;0;0;0;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0171;Chuquisaca;Urbana;45;60;0;0;0;0;25;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;111-00416110273-A;11;193,01114079041
111-00416110273-A-0191;Chuquisaca;Urbana;25;60;0;0;0;0;40;9;20;0;0;40;80;0;45;0;0;25;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;300;40;0;0;0;0;0;0;111-00416110273-A;11;193,01114079041
