"","folio","depto","area","s07a_01","s07a_01e","s07a_02","s07a_03","s07a_04","s07a_05","s07a_06","s07a_07_1","s07a_07_2","s07a_07_3","s07a_07_4","upm","estrato","factor"
"1","111-00415128304-A-0021","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","111-00415128304-A",11,94.5347349144176
"2","111-00415128304-A-0031","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-00415128304-A",11,94.5347349144176
"3","111-00415128304-A-0051","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","2. No",NA,"2. No","1. Si","2. No","2. No","111-00415128304-A",11,94.5347349144176
"4","111-00415128304-A-0071","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","2. No",NA,"2. No","1. Si","2. No","2. No","111-00415128304-A",11,94.5347349144176
"5","111-00415128304-A-0081","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","111-00415128304-A",11,94.5347349144176
"6","111-00415128304-A-0101","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","111-00415128304-A",11,94.5347349144176
"7","111-00415128304-A-0121","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-00415128304-A",11,94.5347349144176
"8","111-00415128304-A-0131","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","1. Si","2. No","1. Si","111-00415128304-A",11,94.5347349144176
"9","111-00415128304-A-0151","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","2. No","1. Si","1. Si","111-00415128304-A",11,94.5347349144176
"10","111-00415128304-A-0171","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","2. No","1. Si","111-00415128304-A",11,94.5347349144176
"11","111-00415128304-A-0181","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","1. Solo fija (la conexion solo puede realizarse en el interior o cerca de la vivienda, incluye la conexion WIFI","2. No","2. No","1. Si","1. Si","111-00415128304-A",11,94.5347349144176
"12","111-00415128304-A-0201","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","1. Si","1. Si","1. Si","111-00415128304-A",11,94.5347349144176
"13","111-00419484924-A-0011","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","1. Si","1. Si","2. No","1. Si","111-00419484924-A",11,60.0220539139159
"14","111-00419484924-A-0031","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","2. No","1. Si","2. No","111-00419484924-A",11,60.0220539139159
"15","111-00419484924-A-0051","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","2. No","111-00419484924-A",11,60.0220539139159
"16","111-00419484924-A-0081","Chuquisaca","1. Urbana","1. Cañería de red dentro de la vivienda","","1. Baño o letrina con descarga de agua","1. A la red de alcantarillado","1. Si","1. Si","3. Ambas (fija y móvil)","1. Si","1. Si","1. Si","1. Si","111-00419484924-A",11,60.0220539139159
"17","111-00419484924-A-0101","Chuquisaca","1. Urbana","13. Otro? (Especifique)","EL AGUA QUE EL INFORMANTE TIENE EN SU CASA LO ADQUIERE  DE LA EMPRESA DE AGUAS PURIFICADAS  DE SU PRIMO LA CUAL LO COMPRA POR TU","5. Ninguno (Arbusto/Campo)",NA,"1. Si","1. Si","2. Solo móvil (la conexion es mediante red móvil (celular, modem) por cualquiera de los miembros del hogar","2. No","1. Si","1. Si","1. Si","111-00419484924-A",11,60.0220539139159
